"bike_id","start_date","month","start_time","end_time","ride_time","time_frame","user_type","start_station_id","station_name"
360,"2017-06-28",6,"14:42:41.895","14:45:30.367",2,"short","Subscriber",58,"Market St at 10th St"
1034,"2017-06-28",6,"14:46:12.279","14:51:51.257",5,"short","Subscriber",37,"Folsom St at 2nd St"
813,"2017-06-28",6,"14:46:52.419","14:49:04.188",2,"short","Subscriber",42,"San Francisco City Hall (Polk St at Grove St)"
732,"2017-06-28",6,"14:48:44.332","15:00:37.011",11,"meduim","Subscriber",6,"The Embarcadero at Sansome St"
836,"2017-06-28",6,"14:49:53.942","14:57:17.006",7,"short","Subscriber",25,"Howard St at 2nd St"
813,"2017-06-28",6,"14:51:35.32","14:54:28.993",2,"short","Subscriber",41,"Golden Gate Ave at Polk St"
169,"2017-06-28",6,"14:55:16.532","14:57:03.947",1,"short","Subscriber",37,"Folsom St at 2nd St"
180,"2017-06-28",6,"14:55:24.7","14:57:04.667",1,"short","Subscriber",37,"Folsom St at 2nd St"
23,"2017-06-28",6,"15:05:04.177","15:16:34.473",11,"meduim","Customer",11,"Davis St at Jackson St"
19,"2017-06-28",6,"15:05:04.398","15:12:44.405",7,"short","Customer",11,"Davis St at Jackson St"
887,"2017-06-28",6,"15:05:46.353","15:14:15.929",8,"short","Subscriber",90,"Townsend St at 7th St"
439,"2017-06-28",6,"15:06:20.525","15:10:33.392",4,"short","Subscriber",6,"The Embarcadero at Sansome St"
358,"2017-06-28",6,"15:07:29.073","15:23:29.834",16,"meduim","Subscriber",90,"Townsend St at 7th St"
274,"2017-06-28",6,"15:10:34.988","15:25:53.229",15,"meduim","Subscriber",66,"3rd St at Townsend St"
255,"2017-06-28",6,"15:10:52.974","15:28:57.193",18,"meduim","Customer",22,"Howard St at Beale St"
934,"2017-06-28",6,"15:11:05.539","17:14:45.437",3,"short","Subscriber",9,"Broadway at Battery St"
272,"2017-06-28",6,"15:12:51.562","15:18:08.354",5,"short","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
364,"2017-06-28",6,"15:13:05.423","15:22:58.394",9,"short","Subscriber",50,"2nd St at Townsend St"
938,"2017-06-28",6,"15:13:30.042","15:18:34.166",5,"short","Subscriber",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)"
349,"2017-06-28",6,"15:14:18.38","19:21:24.899",7,"short","Customer",21,"Montgomery St BART Station (Market St at 2nd St)"
